,FIPS,yPLL,yPLLBlack,yPLLHisp,yPLLWhite,fairPoorHealthPerct,physUnhealthDaysAvgNum,mentalHealthDaysAvgNum,lowBirthWeightPerct,lowBirthWeightPerctBlack,lowBirthWeightPerctHisp,lowBirthWeightPerctWhite,smokersPerct,obesePerct,foodEnvIndex,physInactivePerct,exerciseAccessPerct,excessDrinkPerct,alcImpairedDriveDeathNum,drivingDeathsNum,alcImpairedDriveDeathPerct,chlamydiaCaseNum,chlamydiaCaseRate,teenBirthRate,teenBirthRateBlack,teenBirthRateHisp,teenBirthRateWhite,uninsuredNum,uninsuredPerct,primCarePhysNum,primCarePhysRate,dentistsNum,dentistsRate,mentalHealthProvidNum,mentalHealthProvidRate,preventableHospStaysNum,preventableHospStaysNumBlack,preventableHospStaysNumHisp,preventableHospStaysNumWhite,mammScreenedPerct,mammScreenedPerctBlack,mammScreenedPerctHisp,mammScreenedPerctWhite,fluVaccinatedPerct,fluVaccinatedPerctBlack,fluVaccinatedHisp,fluVaccinatedWhite,hSchoolGradCohortSize,hSchoolGradRate,someCollegeNum,someCollegePop,someCollegePerct,unemployedNum,laborForceNum,unemployedPerct,childrenInPovertyPerct,childrenInPovertyPerctBlack,childrenInPovertyPerctHisp,childrenInPovertyPerctWhite,incomeInequalityPerct80Th,incomeInequalityPerct20Th,incomeInequalityRatio,childSingleParentHouseholdsNum,HouseholdsNum,childSingleParentHouseholdsPerct,socialAssociationsNum,socialAssociationsRate,annAvgViolentCrimes,annAvgViolentCrimesRate,injuryDeathsNum,injuryDeathsRate,airPollutionAvgDailyPM25,SevereHousingProblemsPerct,SevereHousingProblemsCostBurden,SevereHousingProblemsOvercrowding,SevereHousingProblemsInadequateFacilities,driveAlonePerct,driveAlonePerctBlack,driveAlonePerctHisp,driveAlonePerctWhite,longCommuteWorkersDriveAloneNum,longCommuteWorkersDriveAlonePerct,lifeExpect,prematureAAMortalityNum,childMortalityRate,infantMortalityRate,freqPhysDistressPerct,freqMentalDistressPerct,diabeticPerct,HIVprevRate,foodInsecurePerct,foodLimitedAccessPerct,drugODRate,MVmortalityRate,insufficientSleepPerct,adultUninsuredPerct,childUinsuredPerct,disconYouthPerct,householdIncome,householdIncomeBlack,householdIncomeHisp,householdIncomeWHite,childrenFreeLunchPerct,residentialBlackWhiteSeg,nonwhiteWhiteSegIdx,homicideRate,firearmFatalitiesRate,homeownershipPerct,severeHousingCostBurdenPerct,pop,popUnder18,popOver65Perct,popBlackPerct,popNativePerct,popAsianPerct,popHawaiinIslanderPerct,popHispPerct,popNonHispWhitePerct,popNoEnglishPerct,popFemalePerct,popRuralPerct
lifeExpect,-0.030594555,-0.897189907,-0.56680144,-0.477046535,-0.777635847,0.123052244,-0.01707956,-0.187195679,-0.131935879,-0.187615893,0.022807648,-0.264108769,-0.314031286,-0.321322336,0.176135205,-0.416250336,0.209416222,-0.005090981,0.153989743,0.16299919,-0.024953934,0.21078569,-0.111181308,-0.186203439,-0.509718331,-0.267792955,-0.605988966,0.184177959,0.10642528,0.25710023,0.225399261,0.209504846,0.063296709,0.214201331,0.26400921,-0.272812378,-0.042072597,-0.074821846,-0.187645086,0.071758559,0.029225079,0.104108601,0.065015261,0.036382426,0.116413471,0.031796915,0.005050461,0.305220305,-0.032561856,0.221185551,0.202462226,0.150746547,0.19375282,0.211345566,-0.139354928,-0.199579196,-0.35264252,-0.09401426,-0.102043963,0.256209597,0.244978042,-0.044448073,0.177919827,0.208865248,-0.227258837,0.191034117,-0.130691932,0.125446854,-0.232445021,0.199825863,-0.574711044,-0.10267882,0.126203742,0.042117392,0.214806014,-0.074367122,-0.285499319,-0.022743288,-0.062364924,-0.263915694,0.207251154,-0.014281141,1,-0.914269992,-0.52928911,-0.650393534,0.031771327,-0.114661838,-0.29216373,0.016495603,-0.411450659,0.170722046,-0.427958472,-0.51702438,-0.061199888,0.095379743,0.090680798,-0.257677006,0.308316091,0.611659323,0.012823318,0.353556672,-0.122505017,0.105625041,-0.069734912,-0.499554254,-0.506643682,-0.158765404,0.001514858,0.208643168,0.042361743,-0.109214862,-0.218593571,-0.093553228,0.330878475,0.03511292,0.304941683,-0.293879679,0.425917512,0.034694141,-0.178158103
householdIncomeBlack,-0.05530237,-0.575143371,-0.540238846,-0.27794918,-0.396798585,-0.076265449,-0.306151353,-0.449967751,-0.187138977,-0.213579382,0.039738814,-0.133712624,-0.475248117,-0.135550158,0.546329266,-0.404171898,0.169979413,0.36672868,0.136205973,0.150457071,-0.079773202,0.134855692,-0.097625221,-0.264127497,-0.605502955,-0.327416235,-0.439184213,0.154051345,-0.208477276,0.182539959,0.126236412,0.15316928,0.20966744,0.133061349,0.052441491,-0.100944059,-0.087762563,-0.066765705,-0.187760896,0.119335268,0.097841823,0.107421642,0.070608766,0.162222599,-0.065914267,0.195191734,0.093993857,0.205328179,-0.063442688,0.186501915,0.170766573,0.359614276,0.165448722,0.181722224,-0.265500526,-0.445364895,-0.515434974,-0.288596752,-0.347569807,0.557287603,0.62617708,-0.303082187,0.147941692,0.187179107,-0.33136738,0.16116534,-0.483369861,0.087185395,-0.152540566,0.135815682,-0.52668995,0.160374442,0.118184046,0.056303034,0.222183308,-0.126007894,-0.106521364,0.044525359,-0.067395908,-0.352980164,0.180025956,0.278200583,0.611659323,-0.586135611,-0.404467643,-0.431664507,-0.248577347,-0.430256625,-0.471715578,-0.050890341,-0.511535974,-0.241148098,-0.308410717,-0.426263764,-0.093815446,-0.148084572,-0.24377415,-0.174895724,0.57918537,1,0.286620143,0.578269893,-0.38374923,0.151898938,-0.093479265,-0.269606772,-0.351714176,-0.054841271,0.028522437,0.183213389,0.32922604,-0.442373833,-0.270663292,-0.19526711,0.300277173,0.134971364,0.305402081,-0.27409227,0.304405197,0.024312823,-0.36464697
popNoEnglishPerct,0.045742671,-0.337439922,-0.234520444,0.019749212,-0.100555116,0.654389697,0.512794671,0.210736725,0.010155396,-0.097264105,0.064465771,-0.072349919,0.193307892,-0.070336433,0.072638604,-0.257116849,0.030859332,-0.264425824,0.101995582,0.102096242,-0.063517682,0.111469804,-0.049175752,0.461545486,-0.150395018,0.328057795,0.013757497,0.149854015,0.536991137,0.108078709,-0.086265904,0.110633969,-0.114974731,0.119420966,-0.060221632,0.276558661,0.07140303,0.027305283,-0.082260984,-0.327635657,0.011623483,-0.157611554,-0.429195798,-0.193756038,-0.051733538,-0.173849309,-0.281995002,0.180199277,-0.137896446,0.100275739,0.11430359,-0.439026282,0.130794472,0.106416385,0.212849888,0.224322584,-0.110436173,0.107033903,0.197064793,-0.207228148,-0.187150624,0.107011655,0.141045057,0.130999846,-0.022802804,0.076166249,-0.265312372,0.106347896,0.056591301,0.111910182,-0.340148378,-0.283275163,0.320132061,-0.052372535,0.606407111,0.090123656,-0.205986003,0.106092032,0.082702167,-0.024249862,0.104406318,-0.289135958,0.425917512,-0.315495162,-0.251747439,-0.289708826,0.563250212,0.352448118,-0.384588922,0.084652693,-0.500335307,0.29674851,-0.212528926,-0.129857273,0.37123357,0.633165443,0.144447291,0.19810223,-0.198496405,0.304405197,-0.160110455,0.093877796,0.43307604,0.182284612,-0.185881477,-0.122736308,-0.433786569,-0.274191818,-0.043500421,0.114711717,0.451251331,-0.350195294,-0.222907736,0.102570858,0.049913541,-0.009293954,0.711720568,-0.697415678,1,-0.174632549,-0.269577064
householdIncomeWHite,-0.052064043,-0.565067077,-0.462186223,-0.359262762,-0.541515847,-0.303953839,-0.513837264,-0.6342249,-0.130086678,-0.165606875,-0.035910774,-0.135474044,-0.525650105,-0.133319977,0.402478759,-0.361979192,0.191820682,0.543421108,0.294937781,0.310391057,-0.007283203,0.316513678,0.041677147,-0.300793169,-0.469079425,-0.248876893,-0.448027763,0.273193266,-0.374523117,0.359160537,0.138617109,0.316289883,0.19884606,0.349615809,0.211943642,-0.105546758,-0.053080858,-0.06231844,-0.10921835,0.256768405,0.105040562,0.062856674,0.264810882,0.221953598,0.145143816,0.158003864,0.228530453,0.395505747,0.041940644,0.349672409,0.322148423,0.387650134,0.306224237,0.339280416,-0.308016883,-0.634511851,-0.481060378,-0.309156411,-0.492596092,0.849481963,0.750794892,-0.191396415,0.272702399,0.321126254,-0.362843056,0.335653194,-0.246503432,0.232783396,0.057418187,0.323791411,-0.416160743,0.222545865,0.040290023,0.0381219,0.092116915,-0.213102094,0.019605431,0.078218663,-0.006260497,0.004438316,0.336651895,0.280385211,0.353556672,-0.485626479,-0.417908714,-0.443711993,-0.470003893,-0.62529503,-0.438929228,0.077652385,-0.325201525,-0.221270853,-0.317797417,-0.419807825,-0.063687398,-0.3600162,-0.175465035,-0.368258345,0.807681778,0.578269893,0.398471899,1,-0.545135867,-0.015433417,0.032816467,-0.304797686,-0.349039112,-0.089425375,-0.018844503,0.329510929,0.300236341,-0.472575139,0.00715014,-0.178762307,0.467815583,0.047988422,0.078765619,-0.132848128,0.093877796,-0.001190963,-0.291197069
popAsianPerct,-0.067426696,-0.388638019,-0.398516262,-0.32536527,-0.36630144,-0.130076731,-0.226299533,-0.274269227,0.039140374,-0.183998049,-0.070930038,-0.085042448,-0.192396063,-0.101087772,0.069408683,-0.326000077,0.323884174,0.17288034,0.421035995,0.442278642,0.098880494,0.466570869,0.091780083,-0.232236578,-0.340521649,-0.198480804,-0.352050726,0.420896946,-0.301742494,0.576381967,0.366519087,0.485893,0.374367203,0.473343368,0.333988836,-0.020313372,-0.003561047,0.014672004,-0.044904516,0.22439167,0.215127441,0.129451121,0.267580377,0.273578239,0.19815388,0.235913619,0.287712819,0.53102049,-0.099902294,0.552296618,0.503679425,0.35637637,0.481275377,0.528172693,-0.056965604,-0.291838404,-0.28698095,-0.122794339,-0.168672508,0.438558097,0.373050407,-0.070843483,0.423497106,0.500299515,-0.063615596,0.526356864,-0.243602842,0.357909661,0.137002274,0.453280371,-0.361123523,0.329499375,0.188196916,0.277145827,0.020773054,-0.15081283,-0.000276374,-0.031955116,0.021295496,0.031290641,0.523401043,0.143171982,0.330878475,-0.357126988,-0.26553464,-0.224170168,-0.190742085,-0.245280725,-0.283194794,0.124516733,0.02851704,-0.10533894,-0.244970499,-0.406846317,0.139493567,-0.248543359,-0.334301383,-0.350428041,0.454983956,0.300277173,0.156556176,0.467815583,-0.207082908,0.054695474,0.16384592,-0.209862502,-0.349573809,-0.25082218,0.234341627,0.513367429,0.12783807,-0.345314076,0.266635784,-0.142504804,1,0.122770439,-0.02144437,-0.158229662,0.049913541,0.082376628,-0.420095495
householdIncome,-0.053609222,-0.485416219,-0.475797958,-0.483668102,-0.499465881,-0.580522396,-0.697661461,-0.665462249,-0.241790213,-0.170783023,-0.187362851,-0.139547662,-0.539183502,-0.12548623,0.247331182,-0.290486482,0.251846694,0.662866487,0.211121139,0.228004665,0.038789337,0.216490866,-0.040624036,-0.54816753,-0.497609928,-0.444222926,-0.481073258,0.172492518,-0.536782002,0.279876392,0.207400468,0.229342782,0.266662114,0.232819365,0.202150412,-0.160980882,-0.077798221,-0.17609464,-0.038838882,0.442458208,0.140182355,0.175641992,0.399809047,0.392607015,0.165995379,0.264854266,0.37035741,0.264536023,0.148878955,0.275644806,0.237857023,0.545583639,0.21256912,0.261558496,-0.405736061,-0.838811115,-0.484598059,-0.362029085,-0.437832628,0.912279109,0.842665989,-0.321689301,0.169737023,0.231930374,-0.344726844,0.271046567,-0.202771125,0.129238625,-0.053806299,0.235431899,-0.280927948,0.302198188,-0.090041305,0.057308014,-0.187769633,-0.15357403,0.117632622,0.049954964,-0.069556134,-0.036982785,0.258188139,0.397489806,0.308316091,-0.484498517,-0.294204534,-0.28048017,-0.672291281,-0.705003107,-0.320766953,-0.0310096,-0.101689015,-0.219351508,-0.253470027,-0.307988538,-0.265536064,-0.566411827,-0.162803787,-0.473119971,1,0.57918537,0.472638592,0.807681778,-0.75805958,0.009014471,0.11940503,-0.374261253,-0.216219309,0.032179816,-0.000217032,0.246739493,0.154676013,-0.341514571,0.011804775,-0.165280243,0.454983956,0.08073741,-0.270971883,0.241581301,-0.198496405,0.110996338,-0.192513966
hSchoolGradCohortSize,-0.09043103,-0.327956877,-0.237321815,-0.230102091,-0.323771796,-0.039010048,-0.100773003,-0.108728707,0.052776765,-0.138468117,-0.008526483,-0.081126449,-0.254515689,-0.17718989,0.054244237,-0.299223012,0.319144398,0.066040554,0.954498642,0.965034182,0.176553591,0.957273969,0.157787865,-0.182335489,-0.243145702,-0.143551754,-0.330456812,0.978778971,-0.098338321,0.976090842,0.249782554,0.969465148,0.385453256,0.928855406,0.335787663,-0.074871101,-0.037472158,0.007756283,-0.13360713,0.157552964,0.079259301,0.085299451,0.170651818,0.2319059,0.173457242,0.235455123,0.26439116,1,-0.156286727,0.976612366,0.983533659,0.321761121,0.979443752,0.984674561,-0.053450612,-0.134117287,-0.249647005,-0.027607067,-0.195678759,0.295749993,0.220008603,-1.28E-05,0.982494442,0.993829864,0.030551132,0.958967948,-0.332844318,0.927214075,0.240192752,0.971177606,-0.348411984,0.343102355,0.269950581,0.318127296,0.095541283,-0.101007068,-0.038103336,-0.013142073,0.053725004,0.040341015,0.98604715,0.16634077,0.305220305,-0.327453828,-0.184619609,-0.129372234,-0.065044163,-0.116110188,-0.224341454,0.357462731,-0.017994485,-0.052732882,-0.164354819,-0.40364745,0.187037819,-0.050459165,-0.228955846,-0.246600072,0.264536023,0.205328179,0.094066786,0.395505747,-0.050415544,0.137041976,0.1654022,0.001621882,-0.292062369,-0.371441707,0.295719771,0.990299387,0.157405626,-0.324959547,0.226131882,-0.132121022,0.53102049,0.098292486,0.07534472,-0.211341975,0.180199277,0.140362167,-0.394143048
popHispPerct,0.054244284,-0.301499689,-0.216313298,0.426679183,-0.082327799,0.831690388,0.623275586,0.179003302,0.139706457,0.069305066,0.338271714,0.042571515,0.114736751,-0.086371092,0.328829281,-0.361020559,0.105163984,-0.315659647,0.044719531,0.045562681,-0.057725265,0.053146681,0.040299358,0.600590047,-0.076872664,0.4252443,0.008609962,0.087397377,0.374044851,0.046588745,-0.078825239,0.044021824,-0.124112537,0.066111823,-0.057139891,0.13660062,0.061222868,0.187455751,-0.096628114,-0.429417943,-0.171458545,-0.207847115,-0.436678579,-0.299745722,-0.169143394,-0.165476815,-0.361717553,0.07534472,-0.258667584,0.038427806,0.053451052,-0.381364917,0.066771708,0.043068719,0.286600301,0.402139402,-0.139958609,0.039147648,0.222182083,-0.214888634,-0.253619617,0.239540727,0.087801978,0.070633064,0.1632299,0.009143306,-0.2609738,0.059791243,0.112812028,0.031784672,-0.377879477,-0.336318028,0.364204133,-0.055129234,0.684256343,0.154889706,-0.168741765,-0.002902838,0.180677146,-0.105403221,0.042948735,-0.33363388,0.304941683,-0.231387881,-0.276818201,-0.405044324,0.681192214,0.350651854,-0.482773605,-0.027906395,-0.765438321,0.195755073,-0.211100781,-0.165198224,0.420314171,0.512923389,-0.042480758,0.278902181,-0.270971883,0.305402081,-0.124950235,0.078765619,0.468347771,0.094637227,-0.351086174,-0.05135734,-0.36193258,-0.251825962,0.010600259,0.053942523,0.524898826,-0.414539881,-0.392134203,0.113783853,-0.02144437,-0.005823893,1,-0.945977168,0.711720568,-0.212360652,-0.394807122
mentalHealthProvidRate,-0.029752969,-0.240521114,-0.312471993,-0.230421733,-0.286215072,-0.10095168,-0.096766008,-0.035728436,0.064743549,-0.066861291,0.016500645,-0.038425698,-0.080849211,-0.062913192,0.026844469,-0.145422674,0.361362586,0.117323193,0.313473409,0.342532569,0.119031123,0.369591743,0.300874485,-0.247934878,-0.095006183,-0.12130607,-0.318810683,0.286909725,-0.179848765,0.374223957,0.559552487,0.334125942,0.570254169,0.411281656,1,-0.161478719,-0.13262203,-0.139072925,-0.257381609,0.37361424,0.281520266,0.20188965,0.415762069,0.325442326,0.174075689,0.308886938,0.387815881,0.335787663,-0.193874253,0.349950404,0.330873623,0.379938341,0.285531566,0.337836793,-0.217262993,-0.194510511,-0.137308981,-0.114347734,-0.282877005,0.189921389,0.120961329,-0.043927264,0.300377382,0.31560341,-0.007066316,0.404312177,-0.024210089,0.258227412,0.140967504,0.360558221,-0.261937763,0.156216165,0.225406416,0.382483319,-0.086216674,-0.104714618,-0.134267995,-0.206143867,0.114745638,-0.008534881,0.335999687,-0.116611167,0.26400921,-0.269501489,-0.13662237,-0.000962881,-0.101668615,-0.077497454,-0.11623321,0.068777143,0.052430218,-0.082837851,-0.14263863,-0.460475301,0.096531264,-0.162931343,-0.250506689,-0.481065371,0.202150412,0.052441491,0.031708744,0.211943642,-0.075857173,0.136959917,0.231180668,-0.125646066,-0.204700357,-0.316960398,0.325402343,0.332240618,-0.094213354,-0.128027486,0.112196208,-0.036146046,0.333988836,0.218796324,-0.057139891,-0.017149914,-0.060221632,0.205463951,-0.40820411
primCarePhysNum,-0.071403943,-0.305177627,-0.241253432,-0.238900096,-0.309331455,-0.066817727,-0.123685222,-0.113846265,0.040062063,-0.117762541,-0.03309257,-0.082604447,-0.215241833,-0.168702277,0.061428083,-0.28562951,0.310237927,0.118291814,0.955787232,0.969223815,0.124975439,0.977507651,0.13253271,-0.195046232,-0.233359779,-0.154635765,-0.336188406,0.957572274,-0.158481659,1,0.272353575,0.98702153,0.38745211,0.976572525,0.374223957,-0.048278054,-0.027104916,0.001422289,-0.123085922,0.183679683,0.114676707,0.098728945,0.214678503,0.246473228,0.161850355,0.23612102,0.271570373,0.976090842,-0.157383643,0.991924843,0.987715413,0.28674894,0.961676051,0.990861364,-0.046621835,-0.165691468,-0.230603607,-0.044673179,-0.186391037,0.29684731,0.208755451,-0.011928794,0.965914308,0.980748533,0.032365355,0.98365493,-0.236746891,0.921964146,0.254619405,0.980166103,-0.296339733,0.346034669,0.258271312,0.320819668,0.067212465,-0.095022321,-0.011302664,-0.034319265,0.037161593,0.052091366,0.989020883,0.158858731,0.25710023,-0.284310269,-0.167509644,-0.123518897,-0.093093863,-0.132135188,-0.231192669,0.286183615,0.019454785,-0.087298208,-0.115558351,-0.369174825,0.166192404,-0.11233291,-0.248189356,-0.262070262,0.279876392,0.182539959,0.085996687,0.359160537,-0.059458142,0.104294091,0.164747143,0.0075781,-0.279174111,-0.317944882,0.299002729,0.987724591,0.117757431,-0.296140972,0.250524543,-0.120824226,0.576381967,0.116300615,0.046588745,-0.190658631,0.108078709,0.115055931,-0.369875718
incomeInequalityPerct80Th,-0.038491383,-0.464199541,-0.452825785,-0.391234383,-0.502154557,-0.564937689,-0.708980041,-0.720585558,-0.241825922,-0.174104459,-0.12618924,-0.152599449,-0.614385017,-0.130387516,0.313141616,-0.28778309,0.205515312,0.656501425,0.227456647,0.242497219,-0.001218628,0.242510701,0.005714992,-0.495246184,-0.455004772,-0.380226064,-0.456028223,0.192896493,-0.539039565,0.29684731,0.20658176,0.240274151,0.229032842,0.256192634,0.189921389,-0.165448163,-0.031580607,-0.131624044,-0.044027061,0.381682786,0.115708417,0.127858104,0.37361869,0.318959358,0.162485863,0.250400144,0.331638572,0.295749993,0.155291036,0.28594666,0.251843552,0.533196332,0.232792539,0.273331219,-0.371306152,-0.751346596,-0.448418581,-0.408351354,-0.502714165,1,0.810437732,-0.173212172,0.189558398,0.246635878,-0.381330304,0.278283982,-0.157238157,0.156463052,-0.047968754,0.259255324,-0.284454601,0.28809232,-0.104021705,0.025405521,-0.135562658,-0.236126364,0.077390302,0.057361838,-0.073738661,-0.01140896,0.270258301,0.386274816,0.256209597,-0.435512809,-0.307948409,-0.32826647,-0.678951654,-0.749384199,-0.322767392,-0.009827559,-0.16792981,-0.247966514,-0.187530923,-0.326490797,-0.26590208,-0.560579215,-0.186517121,-0.419117222,0.912279109,0.557287603,0.537400179,0.849481963,-0.725024713,0.023833508,0.099422802,-0.341766688,-0.232805612,0.067003553,-0.038871814,0.2600923,0.139048512,-0.32041901,-0.000686274,-0.200027541,0.438558097,0.037983308,-0.214888634,0.189051737,-0.207228148,0.07388818,-0.20519157
incomeInequalityPerct20Th,-0.076845618,-0.447697753,-0.482388861,-0.436531263,-0.407745716,-0.58994689,-0.720409657,-0.707051745,-0.285677878,-0.186994612,-0.112183492,-0.171652634,-0.579411705,-0.118850759,0.274176542,-0.285239497,0.153147963,0.655201279,0.140537003,0.147894347,-0.009474498,0.170478983,0.000157638,-0.428778782,-0.457236479,-0.278372828,-0.353263916,0.112124155,-0.444760938,0.208755451,0.116175105,0.16824752,0.16590688,0.172786619,0.120961329,-0.153440336,-0.090520117,-0.153351629,-0.087701712,0.378699872,0.161316675,0.112513347,0.369238606,0.280468978,0.096945897,0.205700198,0.291156354,0.220008603,0.206844274,0.205218157,0.171270426,0.474701622,0.146676562,0.191121896,-0.444789664,-0.756553856,-0.452250804,-0.416718642,-0.477572906,0.810437732,1,-0.671541316,0.111170561,0.165412985,-0.32416381,0.192979892,-0.075391411,0.084043413,-0.053307909,0.180157926,-0.206021413,0.128639096,-0.21994274,-0.115106407,-0.180622461,-0.135019228,0.040920542,0.020239783,-0.144330762,-0.04736071,0.188503362,0.298411463,0.244978042,-0.42404031,-0.266027778,-0.252760512,-0.694179354,-0.742101716,-0.28743632,0.033924766,-0.168041292,-0.201395937,-0.205006175,-0.254152409,-0.321685177,-0.483083982,-0.060323136,-0.446372407,0.842665989,0.62617708,0.545106004,0.750794892,-0.712491901,-0.065606866,0.044892309,-0.36515397,-0.214769708,0.006360131,-0.236221719,0.176934102,0.191183387,-0.285800533,-0.058557639,-0.110626401,0.373050407,0.078196762,-0.253619617,0.252166144,-0.187150624,0.062166157,-0.122582723
primCarePhysRate,-0.078316617,-0.244842093,-0.329060513,-0.225425456,-0.378319104,-0.137268782,-0.11568507,-0.05737974,-0.058721862,-0.075195891,-0.001803217,-0.016860886,-0.105716696,-0.064538877,0.155747059,-0.142823485,0.481198071,0.087008838,0.20036761,0.22064717,0.033992565,0.222933636,0.043729278,-0.220010993,-0.241588123,-0.043644447,-0.243352895,0.186941325,-0.165546814,0.272353575,1,0.224105946,0.61276228,0.255227236,0.559552487,-0.116757825,-0.00237617,-0.146543892,-0.162669788,0.226885168,0.298395552,0.119695588,0.339938422,0.204356899,0.252189138,0.186361032,0.27464591,0.249782554,-0.133854198,0.235167411,0.217873961,0.264616156,0.198840931,0.228845545,-0.165224607,-0.184013383,-0.211347211,-0.018890469,-0.241426037,0.20658176,0.116175105,0.004201407,0.194255847,0.215982394,-0.01696144,0.268852084,0.000601594,0.167383152,0.104160739,0.214667426,-0.173193505,0.134182861,0.176747107,0.332693274,-0.091289155,-0.095028855,0.012150583,-0.139984547,-0.023252548,0.10245498,0.2283534,-0.200897804,0.225399261,-0.29563081,-0.184246721,-0.111539178,-0.120813919,-0.086611663,-0.09706165,-0.082327793,0.06718165,-0.24507616,-0.045983646,-0.19520408,0.022149458,-0.14598878,-0.193306687,-0.530613788,0.207400468,0.126236412,-0.103094419,0.138617109,-0.115046873,0.087556064,-0.020552433,-0.299164607,-0.294540197,-0.217859507,0.22342998,0.225400289,-0.010311752,-0.090007442,0.052511522,-0.085938599,0.366519087,0.13469291,-0.078825239,0.029236365,-0.086265904,0.17615587,-0.40176066
someCollegeNum,-0.05062803,-0.291076184,-0.242790759,-0.235026449,-0.306037971,-0.070376706,-0.119564194,-0.110487834,0.038975323,-0.116556626,-0.037237662,-0.076024744,-0.20268316,-0.164541267,0.060293542,-0.277345399,0.284462455,0.125629131,0.959923963,0.969601356,0.11228948,0.979420737,0.107842929,-0.176442795,-0.233456978,-0.151908948,-0.320677979,0.966321983,-0.148445237,0.991924843,0.235167411,0.982484272,0.358820624,0.971804536,0.349950404,-0.038464663,-0.020714104,-0.003522123,-0.10445181,0.166280311,0.093734788,0.09021474,0.18806902,0.22953965,0.145582227,0.218072297,0.253829999,0.976612366,-0.151137747,1,0.995602008,0.267169754,0.975459765,0.996788299,-0.041644295,-0.157008751,-0.222919642,-0.046906664,-0.164857315,0.28594666,0.205218157,-0.016685704,0.970256633,0.987145319,0.021456378,0.980557186,-0.222359308,0.939064252,0.242933052,0.984368821,-0.28783625,0.340928718,0.241909717,0.300753315,0.07188545,-0.084978037,-0.009386149,-0.030028423,0.035239346,0.039936642,0.995673946,0.169726544,0.221185551,-0.257745301,-0.166246076,-0.130015626,-0.092279349,-0.127059543,-0.225843802,0.275162757,0.022243975,-0.086424634,-0.127555038,-0.356815244,0.151793692,-0.10485203,-0.227598661,-0.248567075,0.275644806,0.186501915,0.077717343,0.349672409,-0.059108349,0.107754714,0.161504723,0.000539957,-0.271215674,-0.300296085,0.277583755,0.993550046,0.11738601,-0.29459526,0.242695913,-0.111626578,0.552296618,0.115671178,0.038427806,-0.170549556,0.100275739,0.108375469,-0.351302446
SevereHousingProblemsOvercrowding,0.070927156,-0.246760888,-0.041741433,0.153009783,-0.059159871,0.625899672,0.504278061,0.237177677,0.02148314,-0.016389582,0.020978119,-0.08530433,0.18240534,0.038800323,0.253224684,-0.155563692,0.025934227,-0.266371981,0.089269997,0.098438047,-0.029894093,0.076451807,0.015709624,0.400820423,-0.025972581,0.215988916,-0.028521232,0.137893603,0.359664963,0.067212465,-0.091289155,0.073273515,-0.034255154,0.062163761,-0.086216674,0.082454079,-0.07210749,0.182442346,-0.141689384,-0.202416486,-0.139122608,-0.083109487,-0.26275232,-0.03914517,-0.058765081,0.032922605,-0.082565126,0.095541283,-0.178361491,0.07188545,0.092487451,-0.339351888,0.113886285,0.084424621,0.283781796,0.318870742,-0.074655292,0.135174348,0.163642776,-0.135562658,-0.180622461,0.162544211,0.128355786,0.114790069,0.050263378,0.062366343,-0.266270485,0.084553508,0.116390881,0.067739531,-0.37013585,-0.023263311,0.638933857,0.086271507,1,0.120918568,-0.109934905,0.085579383,0.108987931,-0.102025827,0.082752891,-0.139060923,0.214806014,-0.242266319,-0.182966829,-0.246386168,0.546733582,0.357996223,-0.342588183,-0.039884947,-0.44816019,0.041314373,-0.189975202,-0.181713478,0.380518655,0.497810708,-0.053267849,0.289839134,-0.187769633,0.222183308,-0.077087288,0.092116915,0.425622768,0.194676543,-0.162097965,-0.057948115,-0.346762903,-0.146435358,0.085610196,0.096148793,0.467586725,-0.377143827,-0.173829469,-0.020586628,0.020773054,0.006089392,0.684256343,-0.677923971,0.606407111,-0.060728024,-0.274804254
